"product_id","product_name","price","product_quantity","stock_id","capacity","filled_part","stock_description","order_id","order_date","order_status"
"1","Product 1","6,1300","18","1","100137","15762","Stock zone 1","17143","18.03.2026 6:19:44","Created"
"8","Product 8","14,0400","137","8","101096","18458","Stock zone 8","3144","05.02.2026 6:19:44","Shipped"
"12","Product 12","18,5600","205","12","101644","14070","Stock zone 12","13716","25.03.2026 6:19:44","Shipped"
"21","Product 21","28,7300","108","21","102877","14572","Stock zone 21","8003","06.02.2026 6:19:44","Created"
"35","Product 35","44,5500","96","35","104795","19464","Stock zone 35","4005","16.03.2026 6:19:44","Shipped"
"41","Product 41","51,3300","198","41","105617","19882","Stock zone 41","4863","27.04.2026 6:19:44","Shipped"
"50","Product 50","61,5000","101","50","106850","13634","Stock zone 50","17150","11.03.2026 6:19:44","Canceled"
"52","Product 52","63,7600","135","52","107124","18190","Stock zone 52","11436","24.01.2026 6:19:44","Shipped"
"57","Product 57","69,4100","220","57","107809","16080","Stock zone 57","17151","10.03.2026 6:19:44","Shipped"
"63","Product 63","76,1900","72","63","108631","16248","Stock zone 63","8009","31.01.2026 6:19:44","Created"
"64","Product 64","77,3200","89","64","108768","18526","Stock zone 64","3152","28.01.2026 6:19:44","In work"
"70","Product 70","84,1000","191","70","109590","18944","Stock zone 70","8010","30.01.2026 6:19:44","Canceled"
"71","Product 71","85,2300","208","71","109727","14472","Stock zone 71","17153","08.03.2026 6:19:44","Created"
"118","Product 118","138,3400","7","118","116166","14231","Stock zone 118","4874","16.04.2026 6:19:44","In work"
"119","Product 119","139,4700","24","119","116303","16492","Stock zone 119","4017","04.03.2026 6:19:44","Shipped"
"127","Product 127","148,5100","160","127","117399","14580","Stock zone 127","17161","28.02.2026 6:19:44","Created"
"133","Product 133","155,2900","12","133","118221","14896","Stock zone 133","4019","02.03.2026 6:19:44","Created"
"151","Product 151","175,6300","68","151","120687","15594","Stock zone 151","14593","17.04.2026 6:19:44","Created"
"152","Product 152","176,7600","85","152","120824","17855","Stock zone 152","13736","05.03.2026 6:19:44","In work"
"155","Product 155","180,1500","136","155","121235","18138","Stock zone 155","3165","15.01.2026 6:19:44","Shipped"
"162","Product 162","188,0600","5","162","122194","13965","Stock zone 162","17166","23.02.2026 6:19:44","Shipped"
"167","Product 167","193,7100","90","167","122879","18520","Stock zone 167","4881","09.04.2026 6:19:44","Shipped"
"185","Product 185","214,0500","146","185","125345","19468","Stock zone 185","11455","05.01.2026 6:19:44","Created"
"189","Product 189","218,5700","214","189","125893","15262","Stock zone 189","27","03.04.2026 6:19:44","Shipped"
"190","Product 190","219,7000","231","190","126030","17523","Stock zone 190","3170","10.01.2026 6:19:44","Canceled"
"198","Product 198","228,7400","117","198","127126","15611","Stock zone 198","16314","06.01.2026 6:19:44","Shipped"
"199","Product 199","229,8700","134","199","127263","17872","Stock zone 199","11457","03.01.2026 6:19:44","Shipped"
"213","Product 213","245,6900","122","213","129181","16276","Stock zone 213","11459","01.01.2026 6:19:44","Created"
"218","Product 218","251,3400","207","218","129866","14331","Stock zone 218","3174","06.01.2026 6:19:44","Shipped"
"230","Product 230","264,9000","161","230","131510","14713","Stock zone 230","4890","31.03.2026 6:19:44","Canceled"
"245","Product 245","281,8500","166","245","133565","15378","Stock zone 245","35","26.03.2026 6:19:44","Created"
"246","Product 246","282,9800","183","246","133702","17639","Stock zone 246","17178","11.02.2026 6:19:44","Shipped"
"250","Product 250","287,5000","1","250","134250","13433","Stock zone 250","13750","19.02.2026 6:19:44","Canceled"
"252","Product 252","289,7600","35","252","134524","17955","Stock zone 252","8036","04.01.2026 6:19:44","In work"
"259","Product 259","297,6700","154","259","135483","13782","Stock zone 259","8037","03.01.2026 6:19:44","Shipped"
"265","Product 265","304,4500","6","265","136305","14098","Stock zone 265","4895","26.03.2026 6:19:44","Created"
