symbol	count	prob
' '	295	0.15674814
'а'	167	0.08873539
'е'	156	0.08289054
'и'	150	0.07970244
'о'	126	0.06695005
'у'	89	0.04729012
'с'	80	0.04250797
'н'	78	0.04144527
'р'	75	0.03985122
'м'	67	0.03560043
'т'	62	0.03294368
'д'	60	0.03188098
'в'	59	0.03134963
'п'	58	0.03081828
'ј'	48	0.02550478
'к'	47	0.02497343
'л'	42	0.02231668
'з'	28	0.01487779
'г'	24	0.01275239
'ц'	23	0.01222104
','	22	0.01168969
'ч'	17	0.00903294
'ш'	13	0.00690755
'ж'	13	0.00690755
'.'	12	0.00637620
'њ'	11	0.00584485
'б'	11	0.00584485
'љ'	10	0.00531350
'ћ'	10	0.00531350
'х'	6	0.00318810
'\n'	6	0.00318810
'ф'	5	0.00265675
'ђ'	5	0.00265675
':'	3	0.00159405
'—'	3	0.00159405
'a'	1	0.00053135
