symbol	count	prob
'e'	197	0.14358601
' '	190	0.13848397
'n'	127	0.09256560
'i'	78	0.05685131
'r'	77	0.05612245
't'	76	0.05539359
'd'	62	0.04518950
's'	60	0.04373178
'a'	56	0.04081633
'u'	49	0.03571429
'g'	45	0.03279883
'h'	43	0.03134111
'l'	42	0.03061224
'f'	31	0.02259475
'm'	30	0.02186589
'c'	29	0.02113703
'b'	28	0.02040816
'o'	28	0.02040816
'k'	21	0.01530612
'z'	16	0.01166181
','	14	0.01020408
'w'	13	0.00947522
'ä'	13	0.00947522
'ü'	10	0.00728863
'p'	10	0.00728863
'.'	9	0.00655977
'ö'	5	0.00364431
'v'	4	0.00291545
'\n'	4	0.00291545
'ß'	3	0.00218659
':'	1	0.00072886
'j'	1	0.00072886
